target_id	length	eff_length	est_counts	tpm
Solyc09g020070.2.1	1401	1222	0	0
Solyc07g017330.2.1	730	551	0	0
Solyc01g021700.2.1	1146	967	0	0
Solyc09g055550.3.1	1685	1506	0	0
Solyc01g014537.1.1	654	475	2	2.24472
Solyc03g098750.3.1	1586	1407	264	100.031
Solyc06g054230.3.1	1995	1816	6	1.76142
Solyc09g010340.2.1	1272	1093	0	0
Solyc06g043140.3.1	1035	856	0	0
Solyc03g034165.1.1	1203	1024	0	0
Solyc01g012640.2.1	561	382	0	0
Solyc05g023660.2.1	1239	1060	0	0
Solyc11g008140.2.1	1826	1647	25	8.09232
Solyc02g062930.3.1	1567	1388	25	9.60234
Solyc08g066400.2.1	953	774	0	0
Solyc10g036690.2.1	93	4.74468	0	0
Solyc09g011710.3.1	939	760	3	2.10443
Solyc12g096860.2.1	2683	2504	1	0.212908
Solyc02g063040.3.1	1276	1097	19	9.23366
Solyc06g076840.2.1	2830	2651	0	0
Solyc01g056940.2.1	756	577	391	361.266
Solyc06g054620.3.1	855	676	1	0.788642
Solyc01g056270.2.1	701	522	0	0
Solyc01g020230.3.1	2531	2352	15.386	3.48752
Solyc01g014107.1.1	766	587	6	5.44929
Solyc06g052140.2.1	885	706	0	0
Solyc05g052990.3.1	658	479	0	0
Solyc06g033810.2.1	609	430	0	0
Solyc01g009690.2.1	2586	2407	0	0
Solyc02g078420.2.1	309	130	0	0
Solyc07g041240.2.1	468	289	0	0
Solyc12g038770.2.1	729	550	0	0
Solyc06g052080.3.1	2780	2601	86	17.6273
Solyc11g020740.2.1	90	4.62459	0	0
Solyc01g014180.3.1	976	797	936	626.101
Solyc12g038350.2.1	872	693	0	0
Solyc03g031650.3.1	738	559	3	2.86112
Solyc11g072410.2.1	2582	2403	38.8058	8.60933
Solyc06g008100.3.1	663	484	4	4.40597
Solyc09g083445.1.1	618	439	73.8956	89.7389
Solyc06g064740.3.1	358	179	0	0
Solyc02g062260.2.1	226	47.5399	0	0
Solyc11g006650.2.1	2753	2574	0	0
Solyc10g008330.3.1	689	510	0	0
Solyc10g036640.2.1	240	61.0822	0	0
Solyc11g063580.2.1	291	112	0	0
Solyc01g111080.3.1	23222	23043	121.163	2.80323
Solyc04g071540.3.1	3007	2828	138	26.0152
Solyc12g062470.2.1	485	306	0	0
Solyc06g050840.3.1	977	798	13	8.68495
Solyc10g009530.3.1	1365	1186	0	0
Solyc07g052480.3.1	3041	2862	56.0711	10.4447
Solyc01g008410.2.1	2163	1984	1	0.268711
Solyc11g072650.2.1	1699	1520	1	0.350738
Solyc01g101080.2.1	666	487	4	4.37883
Solyc06g011490.3.1	1249	1070	74	36.8701
Solyc09g020130.3.1	1655	1476	147.246	53.1842
Solyc11g012600.2.1	1028	849	0	0
Solyc03g096645.1.1	4058	3879	521.692	71.7003
Solyc02g070420.2.1	1007	828	0	0
Solyc01g090710.3.1	1946	1767	9	2.71539
Solyc05g013230.2.1	342	163	0	0
Solyc11g028080.2.1	685	506	16	16.8576
Solyc03g032030.3.1	1722	1543	15	5.18265
Solyc06g053950.2.1	645	466	11	12.5844
Solyc12g009050.2.1	2268	2089	4	1.02082
Solyc09g015100.3.1	446	267	0	0
Solyc08g061740.2.1	261	82.002	0	0
Solyc07g008020.3.1	817	638	0	0
Solyc07g005470.3.1	2223	2044	1	0.260823
Solyc12g042880.2.1	1074	895	97	57.7797
Solyc07g066275.1.1	1327	1148	39.4163	18.3046
Solyc01g017410.2.1	501	322	0	0
Solyc02g014490.3.1	2997	2818	3	0.567554
Solyc07g014585.1.1	1067	888	0	0
Solyc08g059780.2.1	1452	1273	10	4.18792
Solyc02g080590.3.1	821	642	48	39.8596
Solyc01g066580.2.1	135	7.48819	0	0
Solyc02g089930.3.1	2658	2479	175	37.6347
Solyc04g081560.3.1	2712	2533	0	0
Solyc12g010740.2.1	949	770	7	4.84656
Solyc09g030420.3.1	357	178	0	0
Solyc09g056430.3.1	1825	1646	294	95.2235
Solyc07g009280.3.1	518	339	0	0
Solyc07g032670.2.1	1243	1064	2	1.00211
Solyc04g018000.2.1	1215	1036	0	0
Solyc01g057490.3.1	442	263	0	0
Solyc04g006990.3.1	1321	1142	0	0
Solyc04g009900.3.1	1390	1211	76.5862	33.7158
Solyc02g021063.1.1	1655	1476	19.9459	7.20435
Solyc04g072470.3.1	508	329	0	0
Solyc06g082020.3.1	489	310	0	0
Solyc11g072800.2.1	4144	3965	1	0.134457
Solyc08g080110.3.1	2880	2701	81	15.9877
Solyc08g074680.2.1	5534	5355	1	0.099556
Solyc00g005850.2.1	566	387	0	0
Solyc12g009745.1.1	2898	2719	1.3591	0.266482
Solyc10g008210.3.1	4197	4018	0	0
Solyc06g072480.1.1	516	337	0	0
Solyc09g057715.1.1	519	340	0	0
Solyc05g015710.3.1	1126	947	248	139.614
Solyc12g097070.2.1	1320	1141	3	1.40172
Solyc12g019340.1.1	183	17.7996	0	0
Solyc05g006260.1.1	183	17.7996	0	0
Solyc01g067380.3.1	1781	1602	142	47.2555
Solyc12g042120.2.1	508	329	0	0
Solyc07g006800.1.1	1362	1183	3.63576	1.63846
Solyc09g009280.1.1	885	706	0	0
Solyc06g005070.2.1	2155	1976	1	0.269799
Solyc11g066760.2.1	2304	2125	25.5045	6.39859
Solyc06g071540.3.1	3375	3196	0	0
Solyc09g065150.1.1	150	9.35544	0	0
Solyc10g081230.2.1	1185	1006	0.623689	0.330519
Solyc01g106390.3.1	2020	1841	72	20.85
Solyc09g007080.3.1	5868	5689	81.0897	7.599
Solyc11g066500.2.1	3576	3397	290	45.5123
Solyc01g102637.1.1	282	103	0	0
Solyc03g060510.3.1	1738	1559	13	4.44553
Solyc11g066460.1.1	651	472	61	68.8993
Solyc06g082800.3.1	1406	1227	46	19.9866
Solyc01g105290.3.1	1594	1415	27	10.1726
Solyc08g062965.1.1	528	349	0	0
Solyc03g058900.2.1	501	322	0	0
Solyc11g011542.1.1	477	298	2	3.578
Solyc03g007860.1.1	558	379	24	33.7597
Solyc06g048620.3.1	4542	4363	7	0.855341
Solyc03g006490.3.1	1155	976	27	14.7483
